# handler-routes.tsv — upstream registration → route key.
#
# Consumed by scripts/extract_i4_direct_handler.py (rule I4, docs/42 §6.3): the
# `handler` column is the name a handler test can call as `testHandler.<handler>(w, req)`.
# source: docs/fixtures/upstream-routes.tsv joined with the second argument of the
#         server/cmd/server/router.go registration on the line that table cites.
# upstream commit: 90e0bdf830436b3981b32a7017e1c18d41c7cdea
# regenerate: python3 scripts/upstream_handler_index.py --upstream <checkout> --write-handler-routes
# rows: 456 routes — 451 callable handler methods (`h.<Name>`), 3 otherwise qualified (`pkg.fn`), 1 call expressions, 1 inline closures; `-` means a test cannot call the route's registration as `testHandler.X`, so rule I4 never emits from it. 18 of 456 rows cite a path written as a package constant, which cannot be re-checked here; those rows trust the line number upstream-routes.tsv recorded.
#
# handler	method	path	owner	# router.go:N
PreviewCommentSubIssue	GET	/api/comments/{commentId}/sub-issue-preview	M3+	# router.go:2160
PreviewCommentTriggers	POST	/api/issues/{id}/comments/trigger-preview	M2-A	# router.go:1978
PreviewIssueTrigger	POST	/api/issues/preview-trigger	M3	# router.go:1970
PreviewPlugin	POST	/api/workspaces/{id}/plugins/preview	M6	# router.go:1735
PrioritizeQueuedChatTask	POST	/api/chat/sessions/{sessionId}/queued-tasks/{taskId}/prioritize	M4	# router.go:2352
PublishLocalPluginPackage	POST	/api/workspaces/{id}/plugins/packages/local	M6	# router.go:1726
PublishPluginPackage	POST	/api/workspaces/{id}/plugins/packages	M6	# router.go:1725
PurchaseCloudWorkspaceSubscriptionSeats	POST	/api/cloud-subscriptions/seats/purchases	M9	# router.go:1941
PutIssueViewPreference	PUT	/api/issue-view-preferences	M2-A	# router.go:2137
PutPluginStorage	PUT	/api/plugin-bridge/v1/storage/{scope}/{key}	M6	# router.go:110
PutPluginStorage	PUT	/v1/storage/{scope}/{key}	M6	# router.go:110
QueryIssues	POST	/api/issues/query	M2-A	# router.go:1967
QuickCreateIssue	POST	/api/issues/quick-create	M2-A	# router.go:1969
RebootCloudRuntimeNode	POST	/api/cloud-runtime/nodes/reboot	M3	# router.go:2308
ReconcileCloudWorkspaceSubscriptionSeats	POST	/api/cloud-subscriptions/seats/reconcile	M9	# router.go:1942
RecordSquadLeaderEvaluation	POST	/api/issues/{id}/squad-evaluated	M2-A	# router.go:2097
RecoverOrphanedTasks	POST	/api/daemon/runtimes/{runtimeId}/recover-orphans	M3	# router.go:1570
RedeemDingTalkBindingToken	POST	/api/dingtalk/binding/redeem	M7	# router.go:1850
RedeemLarkBindingToken	POST	/api/lark/binding/redeem	M7	# router.go:1841
RedeemSlackBindingToken	POST	/api/slack/binding/redeem	M7	# router.go:1847
RedeemTelegramBindingToken	POST	/api/telegram/binding/redeem	M7	# router.go:1858
RedeemWecomBindingToken	POST	/api/wecom/binding/redeem	M7	# router.go:1854
RefreshSession	POST	/api/auth/refresh	M1	# router.go:1632
RefreshSkill	POST	/api/skills/{id}/refresh	M6	# router.go:2242
RegenerateChatQuickActions	POST	/api/chat/sessions/{sessionId}/quick-actions/regenerate	M4	# router.go:2347
RegisterDingTalkBYO	POST	/api/workspaces/{id}/dingtalk/install/byo	M7	# router.go:1818
RegisterSlackBYO	POST	/api/workspaces/{id}/slack/install/byo	M7	# router.go:1807
RegisterTelegramBot	POST	/api/workspaces/{id}/telegram/install	M7	# router.go:1830
RegisterWecomBYO	POST	/api/workspaces/{id}/wecom/install/byo	M7	# router.go:1809
RemoveAgentMcpServer	DELETE	/api/agents/{id}/mcp-servers/{serverId}	M8	# router.go:2209
RemoveAgentSkill	DELETE	/api/agents/{id}/skills/{skillId}	M6	# router.go:2201
RemoveAutopilotCollaborator	DELETE	/api/autopilots/{id}/collaborators/{userId}	M5	# router.go:2123
RemoveIssueReaction	DELETE	/api/issues/{id}/reactions	M2-A	# router.go:2000
RemoveReaction	DELETE	/api/comments/{commentId}/reactions	M2-B	# router.go:2173
RemoveSquadMember	DELETE	/api/squads/{id}/members	M4	# router.go:2091
RenderQuickAction	POST	/api/issues/{id}/quick-actions/{quickActionId}/render	M3+	# router.go:1996
RenewCurrentPersonalAccessToken	POST	/api/tokens/current/renew	M1	# router.go:1882
ReorderIssueStatuses	PATCH	/api/issue-statuses/reorder	M2-A	# router.go:2057
ReorderPins	PUT	/api/pins/reorder	M2-A	# router.go:2131
ReplayAutopilotDelivery	POST	/api/autopilots/{id}/deliveries/{deliveryId}/replay	M5	# router.go:2114
ReportLocalSkillImportResult	POST	/api/daemon/runtimes/{runtimeId}/local-skills/import/{requestId}/result	M3	# router.go:1551
ReportLocalSkillListResult	POST	/api/daemon/runtimes/{runtimeId}/local-skills/{requestId}/result	M3	# router.go:1550
ReportModelListResult	POST	/api/daemon/runtimes/{runtimeId}/models/{requestId}/result	M3	# router.go:1549
ReportTaskMessages	POST	/api/daemon/tasks/{taskId}/messages	M3	# router.go:1560
ReportTaskProgress	POST	/api/daemon/tasks/{taskId}/progress	M3	# router.go:1556
ReportTaskUsage	POST	/api/daemon/tasks/{taskId}/usage	M3	# router.go:1559
ReportUpdateResult	POST	/api/daemon/runtimes/{runtimeId}/update/{updateId}/result	M3	# router.go:1548
RerunIssue	POST	/api/issues/{id}/rerun	M3	# router.go:1994
ResolveComment	POST	/api/comments/{commentId}/resolve	M2-B	# router.go:2170
ResolvePluginMCPCredential	GET	/api/daemon/tasks/{id}/plugin-mcp/{contributionId}/credential	M3	# router.go:1537
ResolveTaskSkillBundles	POST	/api/daemon/runtimes/{runtimeId}/tasks/{taskId}/skill-bundles/resolve	M3	# router.go:1546
RestoreAgent	POST	/api/agents/{id}/restore	M3	# router.go:2189
RetrySourceContextQuickCreate	POST	/api/tasks/{taskId}/retry-source-context	M3	# router.go:2017
RevokeDingTalkInstallation	DELETE	/api/workspaces/{id}/dingtalk/installations/{installationId}	M7	# router.go:1817
RevokeInvitation	DELETE	/api/workspaces/{id}/invitations/{invitationId}	M1	# router.go:1706
RevokeLarkInstallation	DELETE	/api/workspaces/{id}/lark/installations/{installationId}	M7	# router.go:1784
RevokePersonalAccessToken	DELETE	/api/tokens/{id}	M1	# router.go:1883
RevokePluginToken	DELETE	/api/workspaces/{id}/plugins/{installationId}/token	M6	# router.go:1739
RevokeShareLink	DELETE	/api/workspaces/{id}/share-links/{linkId}	M1	# router.go:1714
RevokeSlackInstallation	DELETE	/api/workspaces/{id}/slack/installations/{installationId}	M7	# router.go:1806
RevokeTelegramInstallation	DELETE	/api/workspaces/{id}/telegram/installations/{installationId}	M7	# router.go:1829
RevokeWecomInstallation	DELETE	/api/workspaces/{id}/wecom/installations/{installationId}	M7	# router.go:1808
RotateAutopilotTriggerWebhookToken	POST	/api/autopilots/{id}/triggers/{triggerId}/rotate-webhook-token	M5	# router.go:2119
RotatePluginToken	POST	/api/workspaces/{id}/plugins/{installationId}/token	M6	# router.go:1738
RotateVCSConnectionWebhook	POST	/api/workspaces/{id}/vcs/connections/{connectionId}/rotate-webhook	M8	# router.go:1762
RunQuickAction	POST	/api/issues/{id}/quick-actions/{quickActionId}/run	M3+	# router.go:1995
SaveAgentBuilderDraft	PUT	/api/agent-builder/sessions/{sessionId}/draft	M3	# router.go:2229
SearchIssues	GET	/api/issues/search	M2-A	# router.go:1960
SearchProjects	GET	/api/projects/search	M4	# router.go:2066
SearchSkills	GET	/api/skills/search	M6	# router.go:2236
SendChatMessage	POST	/api/chat/sessions/{sessionId}/messages	M4	# router.go:2343
SendCode	POST	/auth/send-code	M1	# router.go:1472
ServeAvatar	GET	/api/avatars/{sig}/*	M3+	# router.go:1456
ServeLocalUpload	GET	/uploads/*	M3+	# router.go:1435
ServePluginSurface	GET	/plugin-surfaces/{token}	M6	# router.go:1462
SetAgentMcpServerEnabled	PUT	/api/agents/{id}/mcp-servers/{serverId}/enabled	M8	# router.go:2208
SetAgentRuntimeSkillEnabled	PUT	/api/agents/{id}/runtime-skills/enabled	M6	# router.go:2200
SetAgentSkillEnabled	PUT	/api/agents/{id}/skills/{skillId}/enabled	M6	# router.go:2199
SetAgentSkills	PUT	/api/agents/{id}/skills	M6	# router.go:2194
SetAutopilotTriggerSigningSecret	PUT	/api/autopilots/{id}/triggers/{triggerId}/signing-secret	M5	# router.go:2120
SetChatSessionArchived	PATCH	/api/chat/sessions/{sessionId}/archive	M4	# router.go:2341
SetChatSessionPinned	PATCH	/api/chat/sessions/{sessionId}/pin	M4	# router.go:2340
SetIssueMetadataKey	PUT	/api/issues/{id}/metadata/{key}	M2-A	# router.go:2007
SetIssueProperty	PUT	/api/issues/{id}/properties/{propertyId}	M2-A	# router.go:2009
StartCloudRuntimeNode	POST	/api/cloud-runtime/nodes/start	M3	# router.go:2306
StartMikaOnboarding	POST	/api/chat/sessions/{sessionId}/onboarding	M4	# router.go:2344
StartTask	POST	/api/daemon/tasks/{taskId}/start	M3	# router.go:1554
StopCloudRuntimeNode	POST	/api/cloud-runtime/nodes/stop	M3	# router.go:2307
SubscribeToIssue	POST	/api/issues/{id}/subscribe	M2-A	# router.go:1983
SwitchAgentBuilderRuntime	PATCH	/api/agent-builder/sessions/{sessionId}/runtime	M3	# router.go:2226
TriggerAutopilot	POST	/api/autopilots/{id}/trigger	M5	# router.go:2109
UnarchiveInboxItem	POST	/api/inbox/{id}/unarchive	M2-C	# router.go:2396
UnbindAgentsAndDeleteRuntime	POST	/api/runtimes/{runtimeId}/archive-agents-and-delete	M3	# router.go:2293
UnbindAgentsAndDeleteRuntime	POST	/api/runtimes/{runtimeId}/unbind-agents-and-delete	M3	# router.go:2289
UninstallPlugin	DELETE	/api/workspaces/{id}/plugins/{installationId}	M6	# router.go:1747
UnpinChatAgent	DELETE	/api/chat/pinned-agents/{agentId}	M4	# router.go:2366
UnreadInboxSummary	GET	/api/inbox/unread-summary	M2-C	# router.go:2388
UnresolveComment	DELETE	/api/comments/{commentId}/resolve	M2-B	# router.go:2171
UnsubscribeFromIssue	POST	/api/issues/{id}/unsubscribe	M2-A	# router.go:1984
UnsubscribeFromIssueSubtree	POST	/api/issues/{id}/unsubscribe/subtree	M2-A	# router.go:1985
UpdateAgent	PUT	/api/agents/{id}/	M3	# router.go:2187
UpdateAgentEnv	PUT	/api/agents/{id}/env	M3	# router.go:2216
UpdateAgentRuntime	PATCH	/api/runtimes/{runtimeId}/	M3	# router.go:2268
UpdateAutopilot	PATCH	/api/autopilots/{id}/	M5	# router.go:2107
UpdateAutopilotTrigger	PATCH	/api/autopilots/{id}/triggers/{triggerId}/	M5	# router.go:2117
UpdateChatSession	PATCH	/api/chat/sessions/{sessionId}/	M4	# router.go:2339
UpdateComment	PUT	/api/comments/{commentId}/	M2-B	# router.go:2162
UpdateIssue	PUT	/api/issues/{id}/	M2-A	# router.go:1975
UpdateIssueStatus	PATCH	/api/issue-statuses/{id}/	M2-A	# router.go:2059
UpdateIssueView	PATCH	/api/issue-views/{id}/	M2-A	# router.go:2143
UpdateLabel	PUT	/api/labels/{id}/	M2-E	# router.go:2046
UpdateMe	PATCH	/api/me	M1	# router.go:1616
UpdateMember	PATCH	/api/workspaces/{id}/members/{memberId}/	M1	# router.go:1703
UpdateNotificationPreferences	PUT	/api/notification-preferences/	M9	# router.go:2403
UpdateProject	PUT	/api/projects/{id}/	M4	# router.go:2071
UpdateProjectResource	PUT	/api/projects/{id}/resources/{resourceId}	M4	# router.go:2075
UpdateProperty	PATCH	/api/properties/{id}/	M2-E	# router.go:2036
UpdateQuickAction	PATCH	/api/quick-actions/{id}/	M3+	# router.go:2025
UpdateRuntimeProfile	PATCH	/api/workspaces/{id}/runtime-profiles/{profileId}	M3	# router.go:1718
UpdateRuntimeProfile	PUT	/api/workspaces/{id}/runtime-profiles/{profileId}	M3	# router.go:1719
UpdateSkill	PUT	/api/skills/{id}/	M6	# router.go:2240
UpdateSquad	PUT	/api/squads/{id}/	M4	# router.go:2086
UpdateSquadMemberRole	PATCH	/api/squads/{id}/members/role	M4	# router.go:2092
UpdateWorkspace	PATCH	/api/workspaces/{id}/	M1	# router.go:1700
UpdateWorkspace	PUT	/api/workspaces/{id}/	M1	# router.go:1699
UpdateWorkspaceMcpServer	PUT	/api/workspaces/{id}/mcp-servers/{serverId}	M8	# router.go:1711
UploadFile	POST	/api/upload-file	M3+	# router.go:1633
UpsertClientUsage	POST	/api/client-usage	M3	# router.go:1635
UpsertSkillFile	PUT	/api/skills/{id}/files	M6	# router.go:2247
VerifyCode	POST	/auth/verify-code	M1	# router.go:1473
health.liveHandler	GET	/health	M10	# router.go:1399
health.readyHandler	GET	/healthz	M10	# router.go:1401
health.readyHandler	GET	/readyz	M10	# router.go:1400
-	GET	/health/realtime	M10	# router.go:1412
-	GET	/ws	M3+	# router.go:1424
